STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,Average wind speed,Peak Gust Time,Preciption,Snowfall,Snow depth,Average Temperature,Maximum Temperature,Minimum Temperature,Direction of fastest 2-minute wind,Direction of fastest 5-minute wind,Fastest 2-minute wind,Fastest 5-minute wind,"Fog, ice fog, or freezing fog",Heavy fog or heaving freezing fog,Thunder,"Ice pellets, sleet, snow pellets, or small hail",Hail (may include small hail),Glaze or rime,Smoke or haze,Blowing or drifting snow
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/25/2014,12.75,0.0,0.0,0.0,0.0,30,35,26,300,290.0,25.9,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/26/2014,11.63,0.0,0.03,0.5,0.0,28,33,20,320,260.0,23.9,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/27/2014,14.99,0.0,0.0,0.0,0.0,25,35,15,310,310.0,32.0,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/28/2014,10.51,0.0,0.0,0.0,0.0,18,26,11,330,310.0,30.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/1/2014,6.04,0.0,0.0,0.0,0.0,26,36,17,170,190.0,13.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/2/2014,7.61,0.0,0.0,0.0,0.0,36,43,30,350,340.0,16.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/3/2014,13.87,0.0,0.04,0.6,1.2,27,35,18,340,340.0,23.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/4/2014,7.83,0.0,0.0,0.0,0.0,20,29,13,350,350.0,18.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/5/2014,7.61,0.0,0.0,0.0,0.0,31,40,25,10,10.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/6/2014,9.62,0.0,0.0,0.0,0.0,26,31,17,20,20.0,21.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/7/2014,11.41,0.0,0.0,0.0,0.0,30,36,27,30,20.0,18.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/8/2014,11.41,0.0,0.0,0.0,0.0,42,60,32,310,290.0,21.9,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/9/2014,13.87,0.0,0.0,0.0,0.0,44,47,36,290,310.0,23.9,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/10/2014,10.51,0.0,0.0,0.0,0.0,42,51,35,260,260.0,21.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/11/2014,9.17,0.0,0.0,0.0,0.0,49,65,38,140,,18.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/12/2014,14.76,0.0,0.15,0.0,0.0,47,57,34,320,310.0,32.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/13/2014,28.19,0.0,0.0,0.0,0.0,30,34,19,310,310.0,40.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/14/2014,14.99,0.0,0.0,0.0,0.0,30,42,22,190,180.0,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/15/2014,16.11,0.0,0.01,0.0,0.0,48,61,40,270,270.0,30.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/16/2014,15.43,0.0,0.0,0.0,0.0,40,43,31,330,330.0,25.9,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/17/2014,10.51,0.0,0.0,0.0,0.0,30,34,25,30,20.0,21.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/18/2014,9.4,0.0,0.0,0.0,0.0,33,43,25,40,40.0,19.9,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/19/2014,14.99,0.0,0.72,0.0,0.0,36,46,28,100,100.0,29.1,36.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/20/2014,17.22,0.0,0.0,0.0,0.0,47,56,42,270,260.0,29.1,36.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/21/2014,14.32,0.0,0.0,0.0,0.0,45,54,34,290,320.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/22/2014,13.65,0.0,0.0,0.0,0.0,48,65,35,270,270.0,25.9,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/23/2014,15.43,0.0,0.0,0.0,0.0,43,46,28,340,330.0,23.9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
